,Unnamed: 0,height,img_name,label,width,x,y,Path
0,0,94,n0239.mha,1,92,776,579,/proccessed_data/images/n0239.mha
2,2,111,n0996.mha,1,159,687,310,/proccessed_data/images/n0996.mha
4,4,69,n0538.mha,1,62,599,645,/proccessed_data/images/n0538.mha
5,5,53,n1026.mha,1,60,758,621,/proccessed_data/images/n1026.mha
6,6,36,n0986.mha,1,38,171,512,/proccessed_data/images/n0986.mha
8,8,84,n0204.mha,1,80,213,483,/proccessed_data/images/n0204.mha
9,9,96,n0373.mha,1,72,631,642,/proccessed_data/images/n0373.mha
10,10,59,n0373.mha,1,48,203,489,/proccessed_data/images/n0373.mha
11,11,56,n0373.mha,1,54,250,498,/proccessed_data/images/n0373.mha
12,12,48,n0497.mha,1,46,338,415,/proccessed_data/images/n0497.mha
13,13,35,n0497.mha,1,37,183,668,/proccessed_data/images/n0497.mha
14,14,46,n0128.mha,1,54,196,691,/proccessed_data/images/n0128.mha
16,16,104,n0783.mha,1,98,245,391,/proccessed_data/images/n0783.mha
17,17,78,n0978.mha,1,72,305,504,/proccessed_data/images/n0978.mha
18,18,44,n0919.mha,1,41,741,481,/proccessed_data/images/n0919.mha
21,21,34,n0736.mha,1,27,815,745,/proccessed_data/images/n0736.mha
22,22,45,n0690.mha,1,49,129,799,/proccessed_data/images/n0690.mha
23,23,108,n0989.mha,1,121,140,465,/proccessed_data/images/n0989.mha
24,24,49,n0990.mha,1,54,635,300,/proccessed_data/images/n0990.mha
25,25,74,n0474.mha,1,75,192,487,/proccessed_data/images/n0474.mha
26,26,78,n0474.mha,1,76,184,685,/proccessed_data/images/n0474.mha
27,27,78,n0474.mha,1,52,144,762,/proccessed_data/images/n0474.mha
28,28,62,n0034.mha,1,62,812,670,/proccessed_data/images/n0034.mha
29,29,43,n0886.mha,1,41,725,496,/proccessed_data/images/n0886.mha
30,30,54,n0436.mha,1,45,833,375,/proccessed_data/images/n0436.mha
31,31,86,n0602.mha,1,75,401,235,/proccessed_data/images/n0602.mha
32,32,60,n0352.mha,1,64,237,717,/proccessed_data/images/n0352.mha
33,33,45,n0352.mha,1,38,287,593,/proccessed_data/images/n0352.mha
34,34,57,n0352.mha,1,56,326,642,/proccessed_data/images/n0352.mha
37,37,77,n0471.mha,1,58,537,241,/proccessed_data/images/n0471.mha
38,38,114,n0604.mha,1,86,250,351,/proccessed_data/images/n0604.mha
39,39,23,n0604.mha,1,18,827,685,/proccessed_data/images/n0604.mha
40,40,83,n0766.mha,1,88,757,660,/proccessed_data/images/n0766.mha
43,43,65,n0769.mha,1,70,175,655,/proccessed_data/images/n0769.mha
44,44,120,n0726.mha,1,93,320,480,/proccessed_data/images/n0726.mha
45,45,51,n0726.mha,1,47,820,522,/proccessed_data/images/n0726.mha
46,46,37,n1095.mha,1,43,634,233,/proccessed_data/images/n1095.mha
47,47,52,n1095.mha,1,39,612,284,/proccessed_data/images/n1095.mha
48,48,32,n0992.mha,1,29,244,578,/proccessed_data/images/n0992.mha
49,49,32,n0992.mha,1,27,209,529,/proccessed_data/images/n0992.mha
52,52,72,n1012.mha,1,52,136,365,/proccessed_data/images/n1012.mha
53,53,38,n0457.mha,1,25,832,640,/proccessed_data/images/n0457.mha
54,54,36,n0980.mha,1,41,186,281,/proccessed_data/images/n0980.mha
55,55,28,n0725.mha,1,27,757,726,/proccessed_data/images/n0725.mha
56,56,36,n0631.mha,1,55,179,667,/proccessed_data/images/n0631.mha
57,57,73,n0327.mha,1,59,134,764,/proccessed_data/images/n0327.mha
61,61,88,n0288.mha,1,89,277,475,/proccessed_data/images/n0288.mha
62,62,72,n0288.mha,1,61,297,665,/proccessed_data/images/n0288.mha
63,63,27,n1132.mha,1,39,257,700,/proccessed_data/images/n1132.mha
64,64,60,n1132.mha,1,71,166,662,/proccessed_data/images/n1132.mha
65,65,29,n1132.mha,1,42,261,342,/proccessed_data/images/n1132.mha
66,66,49,n0379.mha,1,40,762,356,/proccessed_data/images/n0379.mha
67,67,59,n0139.mha,1,59,212,475,/proccessed_data/images/n0139.mha
68,68,67,n0901.mha,1,64,710,541,/proccessed_data/images/n0901.mha
69,69,44,n0901.mha,1,44,241,403,/proccessed_data/images/n0901.mha
70,70,52,n0901.mha,1,37,122,662,/proccessed_data/images/n0901.mha
75,75,43,n0460.mha,1,41,706,389,/proccessed_data/images/n0460.mha
76,76,59,n0309.mha,1,62,351,294,/proccessed_data/images/n0309.mha
77,77,75,n0309.mha,1,61,277,488,/proccessed_data/images/n0309.mha
78,78,25,n1080.mha,1,20,268,488,/proccessed_data/images/n1080.mha
79,79,42,n0505.mha,1,43,276,576,/proccessed_data/images/n0505.mha
80,80,38,n0637.mha,1,35,302,541,/proccessed_data/images/n0637.mha
81,81,46,n0637.mha,1,35,680,271,/proccessed_data/images/n0637.mha
82,82,53,n0637.mha,1,43,755,370,/proccessed_data/images/n0637.mha
85,85,45,n0129.mha,1,43,815,753,/proccessed_data/images/n0129.mha
86,86,37,n0129.mha,1,32,285,391,/proccessed_data/images/n0129.mha
87,87,41,n0129.mha,1,36,707,512,/proccessed_data/images/n0129.mha
88,88,36,n1010.mha,1,34,178,738,/proccessed_data/images/n1010.mha
89,89,57,n0384.mha,1,75,722,442,/proccessed_data/images/n0384.mha
90,90,46,n0493.mha,1,49,732,466,/proccessed_data/images/n0493.mha
91,91,65,n0881.mha,1,67,367,251,/proccessed_data/images/n0881.mha
92,92,50,n0873.mha,1,46,383,747,/proccessed_data/images/n0873.mha
93,93,55,n0873.mha,1,60,314,785,/proccessed_data/images/n0873.mha
96,96,92,n0550.mha,1,97,607,541,/proccessed_data/images/n0550.mha
97,97,58,n0271.mha,1,46,281,639,/proccessed_data/images/n0271.mha
98,98,81,n0969.mha,1,64,332,460,/proccessed_data/images/n0969.mha
